Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048239.1-41,52,216
CP048239.1-42,42,326
CP048239.1-43,18,827
CP048239.1-44,37,391
CP048239.1-45,8,1100
CP048239.1-46,11,1029
CP048239.1-47,8,1101
CP048239.1-48,28,550
CP048239.1-49,15,919
CP048239.1-50,11,1030
CP048239.1-51,13,971
CP048239.1-52,0,1254
CP048239.1-53,5,1165
CP048239.1-54,8,1102
CP048239.1-55,17,856
CP048239.1-56,7,1124
CP048239.1-57,4,1178
CP048239.1-58,1,1234
CP048239.1-59,28,551
CP048239.1-60,38,380
CP048239.1-61,37,392
CP048239.1-62,23,672
CP048239.1-63,7,1125
CP048239.1-64,22,708
CP048239.1-65,47,266
CP048239.1-66,16,891
CP048239.1-67,22,709
CP048239.1-68,21,749
CP048239.1-69,11,1031
CP048239.1-70,14,946
CP048239.1-71,30,506
CP048239.1-72,53,206
CP048239.1-73,34,438
CP048239.1-74,15,920
CP048239.1-75,16,892
CP048239.1-76,25,618
CP048239.1-77,17,857
CP048239.1-78,9,1074
CP048239.1-79,14,947
CP048239.1-80,9,1075
CP048239.1-81,10,1049
CP048239.1-82,6,1145
CP048239.1-83,12,1001
CP048239.1-84,22,710
CP048239.1-85,3,1206
CP048239.1-86,44,300
CP048239.1-87,34,439
CP048239.1-88,32,476
CP048239.1-89,11,1032
CP048239.1-90,15,921
CP048239.1-91,13,972
CP048239.1-92,9,1076
CP048239.1-93,10,1050
CP048239.1-94,22,711
CP048239.1-95,39,371
CP048239.1-96,20,766
CP048239.1-97,4,1179
CP048239.1-98,8,1103
CP048239.1-99,26,590
CP048239.1-100,22,712
CP048239.1-101,22,713
CP048239.1-102,22,714
CP048239.1-103,18,828
CP048239.1-104,17,858
CP048239.1-105,14,948
CP048239.1-106,25,619
CP048239.1-107,4,1180
CP048239.1-108,12,1002
CP048239.1-109,7,1126
CP048239.1-110,9,1077
CP048239.1-111,14,949
CP048239.1-112,27,572
CP048239.1-113,20,767
CP048239.1-114,17,859
CP048239.1-115,15,922
CP048239.1-116,23,673
CP048239.1-117,35,417
CP048239.1-118,28,552
CP048239.1-119,37,393
CP048239.1-120,11,1033
CP048239.1-121,10,1051
CP048239.1-122,0,1255
CP048239.1-123,0,1256
CP048239.1-124,2,1223
CP048240.1-0,3,1207
CP048240.1-1,0,1257
CP048240.1-2,36,400
CP048240.1-3,66,135
CP048240.1-4,32,477
CP048240.1-5,6,1146
CP048240.1-6,33,456
CP048240.1-7,58,186
CP048240.1-8,16,893
CP048240.1-9,24,649
CP048240.1-10,10,1052
CP048240.1-11,26,591
CP048240.1-12,16,894
CP048240.1-13,13,973
CP048240.1-14,63,149
CP048240.1-15,26,592
CP048240.1-16,34,440
CP048240.1-17,38,381
CP048240.1-18,63,150
CP048240.1-19,61,161
CP048240.1-20,29,521
CP048240.1-21,33,457
CP048240.1-22,40,356
CP048240.1-23,38,382
CP048240.1-24,89,60
CP048240.1-25,151,16
CP048240.1-26,144,21
CP048240.1-27,145,19
CP048240.1-28,105,44
CP048240.1-29,133,25
CP048240.1-30,45,289
CP048240.1-31,49,246
CP048240.1-32,47,267
CP048240.1-33,31,493
CP048240.1-34,69,125
CP048240.1-35,11,1034
CP048240.1-36,21,750
CP048240.1-37,45,290
CP048240.1-38,41,340
CP048240.1-39,51,231
CP048240.1-40,85,68
CP048240.1-41,48,258
CP048240.1-42,29,522
CP048240.1-43,31,494
CP048240.1-44,15,923
CP048240.1-45,46,282
CP048240.1-46,25,620
CP048240.1-47,22,715
CP048240.1-48,25,621
CP048240.1-49,12,1003
CP048240.1-50,33,458
CP048240.1-51,23,674
CP048240.1-52,16,895
CP048240.1-53,20,768
CP048240.1-54,8,1104
CP048240.1-55,10,1053
CP048240.1-56,49,247
CP048240.1-57,47,268
CP048240.1-58,29,523
CP048240.1-59,20,769
CP048240.1-60,27,573
CP048240.1-61,47,269
CP048240.1-62,12,1004
CP048240.1-63,16,896
CP048240.1-64,2,1224
CP048240.1-65,28,553
CP048240.1-66,7,1127
CP048240.1-67,20,770
CP048240.1-68,19,796
CP048240.1-69,16,897
CP048240.1-70,5,1166
CP048240.1-71,31,495
CP048240.1-72,63,151
CP048240.1-73,43,313
CP048240.1-74,44,301
CP048240.1-75,12,1005
CP048240.1-76,32,478
CP048240.1-77,45,291
CP048240.1-78,15,924
CP048240.1-79,4,1181
CP048240.1-80,12,1006
CP048240.1-81,25,622
CP048240.1-82,21,751
CP048240.1-83,4,1182
CP048240.1-84,24,650
CP048240.1-85,20,771
CP048240.1-86,17,860
CP048240.1-87,32,479
CP048240.1-88,64,142
CP048240.1-89,23,675
CP048240.1-90,12,1007
CP048240.1-91,26,593
CP048240.1-92,4,1183
CP048240.1-93,24,651
CP048240.1-94,3,1208
CP048240.1-95,19,797
CP048240.1-96,1,1235
CP048240.1-97,18,829
CP048240.1-98,20,772
CP048240.1-99,29,524
CP048240.1-100,18,830
CP048240.1-101,2,1225
CP048240.1-102,8,1105
CP048240.1-103,20,773
CP048240.1-104,28,554
CP048240.1-105,12,1008
CP048240.1-106,59,178
CP048240.1-107,39,372
CP048240.1-108,4,1184
CP048240.1-109,9,1078
CP048240.1-110,15,925
CP048240.1-111,26,594
CP048240.1-112,27,574
CP048240.1-113,19,798
CP048240.1-114,3,1209
CP048240.1-115,45,292
CP048240.1-116,11,1035
CP048240.1-117,26,595
CP048240.1-118,35,418
CP048240.1-119,20,774
CP048240.1-120,27,575
CP048240.1-121,8,1106
CP048240.1-122,17,861
CP048240.1-123,18,831
CP048240.1-124,18,832
CP048240.1-125,13,974
CP048240.1-126,42,327
CP048240.1-127,42,328
CP048240.1-128,23,676
CP048240.1-129,37,394
CP048240.1-130,9,1079
CP048241.1-0,4,1185
CP048241.1-1,4,1186
CP048241.1-2,23,677
CP048241.1-3,25,623
CP048241.1-4,33,459
CP048241.1-5,22,716
CP048241.1-6,24,652
CP048241.1-7,46,283
CP048241.1-8,2,1226
CP048241.1-9,47,270
CP048241.1-10,16,898
CP048241.1-11,61,162
CP048241.1-12,10,1054
CP048241.1-13,7,1128
CP048241.1-14,20,775
CP048241.1-15,23,678
CP048241.1-16,13,975
CP048241.1-17,13,976
CP048241.1-18,49,248
CP048241.1-19,4,1187
CP048241.1-20,4,1188
CP048241.1-21,11,1036
CP048241.1-22,58,187
CP048241.1-23,12,1009
CP048241.1-24,6,1147
CP048241.1-25,7,1129
CP048241.1-26,6,1148
CP048241.1-27,21,752
CP048241.1-28,12,1010
CP048241.1-29,26,596
CP048241.1-30,6,1149
CP048241.1-31,3,1210
CP048241.1-32,5,1167
CP048241.1-33,26,597
CP048241.1-34,12,1011
CP048241.1-35,59,179
CP048241.1-36,25,624
CP048241.1-37,29,525
CP048241.1-38,38,383
CP048241.1-39,20,776
CP048241.1-40,35,419
CP048241.1-41,4,1189
CP048241.1-42,18,833
CP048241.1-43,12,1012
CP048241.1-44,27,576
CP048241.1-45,32,480
CP048241.1-46,30,507
CP048241.1-47,35,420
CP048241.1-48,44,302
CP048241.1-49,36,401
CP048241.1-50,43,314
