Bin index,SRR7824843_1,SRR7824843_1 rank
6-67,163,611
6-68,228,294
6-69,182,509
6-70,223,309
6-71,203,391
6-72,89,1183
6-73,195,444
6-74,173,559
6-75,258,201
6-76,242,245
6-77,194,451
6-78,190,471
6-79,194,452
6-80,111,986
6-81,264,190
6-82,291,136
6-83,198,416
6-84,214,348
6-85,221,314
6-86,178,531
6-87,218,330
6-88,246,231
6-89,153,668
6-90,220,321
6-91,195,445
6-92,277,159
6-93,381,53
6-94,141,750
6-95,236,264
6-96,299,118
6-97,157,643
6-98,210,365
6-99,390,48
6-100,50,1401
6-101,313,103
6-102,285,146
6-103,48,1405
7-0,137,779
7-1,165,602
7-2,188,478
7-3,135,798
7-4,168,587
7-5,167,589
7-6,136,787
7-7,189,476
7-8,115,939
7-9,132,820
7-10,160,627
7-11,219,326
7-12,230,286
7-13,166,595
7-14,221,315
7-15,143,732
7-16,267,180
7-17,257,205
7-18,270,172
7-19,197,427
7-20,191,467
7-21,113,965
7-22,253,211
7-23,127,848
7-24,239,252
7-25,156,650
7-26,212,356
7-27,205,383
7-28,266,181
7-29,284,147
7-30,132,821
7-31,278,156
7-32,351,71
7-33,175,550
7-34,176,546
7-35,289,138
7-36,362,66
7-37,372,55
7-38,211,362
7-39,139,764
7-40,234,274
7-41,345,76
7-42,193,458
7-43,322,95
7-44,293,133
7-45,278,157
7-46,364,64
7-47,385,52
7-48,451,33
7-49,578,24
7-50,504,28
7-51,528,27
7-52,309,108
7-53,308,111
7-54,287,142
7-55,317,100
7-56,240,251
7-57,196,439
7-58,135,799
7-59,150,686
7-60,269,175
7-61,212,357
7-62,277,160
7-63,157,644
7-64,144,729
7-65,219,327
7-66,198,417
7-67,225,305
7-68,236,265
7-69,230,287
7-70,276,162
7-71,220,322
7-72,253,212
7-73,235,269
7-74,165,603
7-75,210,366
7-76,289,139
7-77,215,346
7-78,221,316
7-79,250,219
7-80,192,462
7-81,111,987
7-82,91,1168
7-83,249,222
7-84,183,507
7-85,202,396
7-86,197,428
7-87,164,605
7-88,245,234
7-89,155,658
7-90,117,926
7-91,173,560
7-92,217,336
7-93,87,1199
7-94,75,1296
R-0,56,1383
R-1,74,1302
R-2,54,1389
R-3,76,1284
R-4,74,1303
R-5,57,1381
R-6,71,1321
R-7,100,1073
R-8,87,1200
R-9,70,1326
R-10,49,1402
R-11,65,1357
R-12,70,1327
R-13,76,1285
R-14,73,1309
R-15,70,1328
R-16,65,1358
R-17,97,1101
R-18,82,1235
R-19,81,1244
R-20,108,1016
R-21,205,384
R-22,74,1304
R-23,85,1209
R-24,63,1364
R-25,55,1387
R-26,124,875
R-27,72,1315
R-28,99,1080
R-29,97,1102
R-30,94,1139
R-31,75,1297
R-32,51,1395
R-33,76,1286
R-34,110,999
R-35,95,1132
R-36,71,1322
R-37,76,1287
R-38,43,1413
R-39,92,1164
R-40,70,1329
R-41,91,1169
R-42,81,1245
R-43,72,1316
R-44,68,1342
R-45,83,1226
R-46,88,1192
R-47,78,1268
R-48,78,1269
R-49,67,1347
R-50,81,1246
R-51,106,1028
R-52,96,1116
R-53,69,1336
R-54,96,1117
R-55,70,1330
R-56,51,1396
R-57,99,1081
R-58,59,1374
R-59,85,1210
R-60,77,1277
R-61,82,1236
R-62,105,1039
R-63,87,1201
R-64,106,1029
R-65,97,1103
R-66,96,1118
R-67,75,1298
R-68,96,1119
R-69,97,1104
R-70,62,1367
R-71,99,1082
R-72,61,1369
R-73,90,1176
R-74,86,1205
R-75,49,1403
R-76,56,1384
R-77,94,1140
R-78,73,1310
R-79,52,1394
R-80,82,1237
R-81,84,1219
R-82,79,1259
R-83,104,1048
R-84,110,1000
R-85,68,1343
R-86,84,1220
R-87,112,969
R-88,130,834
R-89,123,884
R-90,29,1426
R-91,84,1221
R-92,89,1184
R-93,36,1418
R-94,97,1105
R-95,102,1058
R-96,44,1411
R-97,94,1141
R-98,78,1270
R-99,124,876
R-100,105,1040
R-101,112,970
R-102,93,1148
R-103,90,1177
R-104,83,1227
R-105,134,801
R-106,149,693
R-107,130,835
R-108,105,1041
R-109,145,720
R-110,96,1120
R-111,127,849
R-112,94,1142
R-113,109,1006
R-114,141,751
R-115,129,842
R-116,161,620
R-117,107,1023
R-118,88,1193
R-119,153,669
R-120,103,1054
R-121,147,706
R-122,151,680
R-123,158,636
R-124,143,733
R-125,126,852
R-126,210,367
R-127,169,582
R-128,252,213
R-129,132,822
R-130,179,522
R-131,156,651
R-132,153,670
R-133,225,306
R-134,137,780
R-135,40,1414
R-136,177,540
R-137,156,652
R-138,141,752
R-139,184,500
R-140,186,490
R-141,245,235
R-142,146,714
R-143,197,429
R-144,133,812
R-145,208,375
R-146,226,303
R-147,238,257
R-148,202,397
R-149,173,561
R-150,70,1331
R-151,147,707
R-152,197,430
R-153,196,440
R-154,153,671
R-155,209,370
R-156,129,843
R-157,245,236
R-158,245,237
R-159,176,547
R-160,126,853
R-161,178,532
R-162,185,494
R-163,281,152
R-164,166,596
R-165,228,295
R-166,295,127
R-167,277,161
R-168,262,194
R-169,297,122
R-170,325,93
R-171,335,82
R-172,299,119
R-173,281,153
R-174,235,270
R-175,306,113
R-176,154,664
R-177,301,117
R-178,221,317
R-179,224,308
R-180,298,120
R-181,197,431
R-182,201,402
R-183,136,788
R-184,177,541
R-185,99,1083
R-186,64,1361
R-187,144,730
R-188,124,877
R-189,102,1059
R-190,76,1288
R-191,31,1423
R-192,51,1397
R-193,132,823
R-194,67,1348
R-195,115,940
R-196,85,1211
R-197,82,1238
R-198,97,1106
R-199,121,902
R-200,115,941
R-201,109,1007
R-202,76,1289
R-203,76,1290
R-204,104,1049
R-205,96,1121
R-206,145,721
R-207,80,1252
R-208,179,523
R-209,111,988
R-210,141,753
R-211,98,1091
R-212,110,1001
R-213,112,971
R-214,101,1065
R-215,96,1122
R-216,83,1228
R-217,120,908
R-218,80,1253
R-219,72,1317
R-220,100,1074
R-221,112,972
R-222,84,1222
R-223,51,1398
R-224,76,1291
R-225,72,1318
R-226,17,1427
R-227,97,1107
R-228,33,1421
