Standard name,Common name,Type,Lib _1
C5_03540C_A,RPS25B,ORF|Uncharacterized,1
C5_03550W_A,,ORF|Uncharacterized,17
C5_03560W_A,,ORF|Uncharacterized,7
C5_03570W_A,,ORF|Uncharacterized,14
C5_03580C_A,CAC2,ORF|Verified,15
C5_03590W_A,LAP4,ORF|Verified,18
C5_03600W_A,MDJ1,ORF|Uncharacterized,4
C5_03610W_A,HEX1,ORF|Verified,24
C5_03620W_A,BTS1,ORF|Uncharacterized,10
C5_03630C_A,,ORF|Uncharacterized,9
C5_03640W_A,,ORF|Uncharacterized,3
C5_03650C_A,,ORF|Uncharacterized,10
C5_03660W_A,,long_terminal_repeat,5
C5_03670C_A,,ORF|Uncharacterized,11
C5_03680W_A,FGR27,ORF|Verified,17
C5_03690W_A,,ORF|Uncharacterized,22
C5_03700C_A,,ORF|Uncharacterized,0
C5_03710C_A,,ORF|Uncharacterized,6
C5_03720C_A,,ORF|Dubious,20
C5_03730W_A,,ORF|Uncharacterized,16
C5_03740W_A,,ORF|Uncharacterized,17
C5_03750W_A,FAV2,ORF|Uncharacterized,5
C5_03760C_A,MTR10,ORF|Uncharacterized,3
C5_03770C_A,,ORF|Uncharacterized,19
C5_03780C_A,,ORF|Uncharacterized,10
C5_03790W_A,GUK1,ORF|Uncharacterized,1
C5_03800W_A,,ORF|Verified,3
C5_03810C_A,,ORF|Uncharacterized,15
C5_03820C_A,BUD7,ORF|Uncharacterized,15
C5_03830C_A,,ORF|Uncharacterized,5
C5_03840W_A,,ORF|Verified,2
C5_03850W_A,,ORF|Uncharacterized,2
C5_03860W_A,HAM1,ORF|Uncharacterized,6
C5_03870C_A,,ORF|Uncharacterized,4
C5_03880C_A,,ORF|Uncharacterized,32
C5_03890C_A,,ORF|Uncharacterized,3
C5_03900W_A,PGA56,ORF|Verified,1
C5_03910C_A,,ORF|Uncharacterized,8
C5_03920C_A,,ORF|Uncharacterized,0
C5_03930C_A,,ORF|Uncharacterized,6
C5_03940C_A,,ORF|Uncharacterized,9
C5_03950W_A,,ORF|Uncharacterized,17
C5_03960W_A,,ORF|Uncharacterized,7
C5_03970W_A,,ORF|Verified,5
C5_03980W_A,,ORF|Uncharacterized,29
C5_03990W_A,MID1,ORF|Verified,9
C5_04000W_A,RCF3,ORF|Uncharacterized,0
C5_04010C_A,,ORF|Uncharacterized,7
C5_04020C_A,FGR42,ORF|Verified,11
C5_04030W_A,,ORF|Uncharacterized,2
C5_04040C_A,,ORF|Dubious,7
C5_04050W_A,,ORF|Verified,26
C5_04060C_A,MEC1,ORF|Verified,23
C5_04070C_A,CKS1,ORF|Uncharacterized,0
C5_04080C_A,,ORF|Uncharacterized,0
C5_04090C_A,SUI1,ORF|Uncharacterized,0
C5_04100W_A,CDS1,ORF|Verified,1
C5_04110W_A,SCW11,ORF|Verified,18
C5_04120C_A,,ORF|Verified,16
C5_04130C_A,CHT2,ORF|Verified,20
C5_04140W_A,,ORF|Uncharacterized,12
C5_04150C_A,,ORF|Uncharacterized,9
C5_04160W_A,SDC1,ORF|Uncharacterized,7
C5_04170W_A,,ORF|Uncharacterized,3
C5_04180W_A,,ORF|Uncharacterized,11
C5_04190W_A,MRV2,ORF|Uncharacterized,9
C5_04200W_A,MRV3,ORF|Uncharacterized,8
