Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048239.1-14,24,806
CP048239.1-15,83,141
CP048239.1-16,63,259
CP048239.1-17,124,50
CP048239.1-18,83,142
CP048239.1-19,37,546
CP048239.1-20,53,343
CP048239.1-21,39,508
CP048239.1-22,98,91
CP048239.1-23,249,4
CP048239.1-24,184,18
CP048239.1-25,67,219
CP048239.1-26,39,509
CP048239.1-27,115,58
CP048239.1-28,100,87
CP048239.1-29,59,292
CP048239.1-30,72,184
CP048239.1-31,65,237
CP048239.1-32,20,888
CP048239.1-33,63,260
CP048239.1-34,28,709
CP048239.1-35,39,510
CP048239.1-36,29,687
CP048239.1-37,9,1128
CP048239.1-38,36,571
CP048239.1-39,39,511
CP048239.1-40,44,436
CP048239.1-41,60,280
CP048239.1-42,45,429
CP048239.1-43,13,1037
CP048239.1-44,39,512
CP048239.1-45,16,980
CP048239.1-46,15,1004
CP048239.1-47,10,1105
CP048239.1-48,18,936
CP048239.1-49,23,824
CP048239.1-50,18,937
CP048239.1-51,17,960
CP048239.1-52,0,1253
CP048239.1-53,14,1020
CP048239.1-54,19,911
CP048239.1-55,38,533
CP048239.1-56,6,1176
CP048239.1-57,11,1087
CP048239.1-58,9,1129
CP048239.1-59,37,547
CP048239.1-60,43,453
CP048239.1-61,51,368
CP048239.1-62,28,710
CP048239.1-63,2,1219
CP048239.1-64,31,658
CP048239.1-65,53,344
CP048239.1-66,22,843
CP048239.1-67,14,1021
CP048239.1-68,23,825
CP048239.1-69,11,1088
CP048239.1-70,21,866
CP048239.1-71,37,548
CP048239.1-72,51,369
CP048239.1-73,50,377
CP048239.1-74,12,1060
CP048239.1-75,26,756
CP048239.1-76,46,418
CP048239.1-77,23,826
CP048239.1-78,16,981
CP048239.1-79,15,1005
CP048239.1-80,10,1106
CP048239.1-81,16,982
CP048239.1-82,4,1199
CP048239.1-83,12,1061
CP048239.1-84,33,622
CP048239.1-85,6,1177
CP048239.1-86,39,513
CP048239.1-87,40,493
CP048239.1-88,15,1006
CP048239.1-89,22,844
CP048239.1-90,21,867
CP048239.1-91,18,938
CP048239.1-92,11,1089
CP048239.1-93,16,983
CP048239.1-94,38,534
CP048239.1-95,61,271
CP048239.1-96,19,912
CP048239.1-97,6,1178
CP048239.1-98,14,1022
CP048239.1-99,18,939
CP048239.1-100,38,535
CP048239.1-101,53,345
CP048239.1-102,18,940
CP048239.1-103,25,785
CP048239.1-104,10,1107
CP048239.1-105,26,757
CP048239.1-106,36,572
CP048239.1-107,7,1158
CP048239.1-108,11,1090
CP048239.1-109,13,1038
CP048239.1-110,14,1023
CP048239.1-111,20,889
CP048239.1-112,38,536
CP048239.1-113,27,734
CP048239.1-114,21,868
CP048239.1-115,13,1039
CP048239.1-116,25,786
CP048239.1-117,32,637
CP048239.1-118,51,370
CP048239.1-119,49,384
CP048239.1-120,16,984
CP048239.1-121,12,1062
CP048239.1-122,1,1235
CP048239.1-123,0,1254
CP048239.1-124,3,1213
CP048240.1-0,0,1255
CP048240.1-1,1,1236
CP048240.1-2,47,404
CP048240.1-3,76,170
CP048240.1-4,40,494
CP048240.1-5,5,1188
CP048240.1-6,48,392
CP048240.1-7,74,174
CP048240.1-8,30,670
CP048240.1-9,34,605
CP048240.1-10,12,1063
CP048240.1-11,32,638
CP048240.1-12,20,890
CP048240.1-13,21,869
CP048240.1-14,71,191
CP048240.1-15,34,606
CP048240.1-16,43,454
CP048240.1-17,36,573
CP048240.1-18,71,192
CP048240.1-19,94,102
CP048240.1-20,41,480
CP048240.1-21,41,481
CP048240.1-22,46,419
CP048240.1-23,64,249
CP048240.1-24,106,75
CP048240.1-25,187,14
CP048240.1-26,179,20
CP048240.1-27,218,9
CP048240.1-28,130,47
CP048240.1-29,150,36
CP048240.1-30,70,199
CP048240.1-31,74,175
CP048240.1-32,59,293
CP048240.1-33,57,307
CP048240.1-34,90,120
CP048240.1-35,13,1040
CP048240.1-36,22,845
CP048240.1-37,67,220
CP048240.1-38,65,238
CP048240.1-39,71,193
CP048240.1-40,108,72
CP048240.1-41,47,405
CP048240.1-42,37,549
CP048240.1-43,29,688
CP048240.1-44,46,420
CP048240.1-45,57,308
CP048240.1-46,36,574
CP048240.1-47,41,482
CP048240.1-48,49,385
CP048240.1-49,23,827
CP048240.1-50,36,575
CP048240.1-51,27,735
CP048240.1-52,31,659
CP048240.1-53,36,576
CP048240.1-54,4,1200
CP048240.1-55,18,941
CP048240.1-56,82,146
CP048240.1-57,65,239
CP048240.1-58,43,455
CP048240.1-59,20,891
CP048240.1-60,31,660
CP048240.1-61,53,346
CP048240.1-62,10,1108
CP048240.1-63,19,913
CP048240.1-64,16,985
CP048240.1-65,29,689
CP048240.1-66,8,1145
CP048240.1-67,32,639
CP048240.1-68,20,892
CP048240.1-69,28,711
CP048240.1-70,8,1146
CP048240.1-71,42,463
CP048240.1-72,103,81
CP048240.1-73,55,329
CP048240.1-74,51,371
CP048240.1-75,15,1007
CP048240.1-76,34,607
CP048240.1-77,61,272
CP048240.1-78,27,736
CP048240.1-79,13,1041
CP048240.1-80,14,1024
CP048240.1-81,25,787
CP048240.1-82,18,942
CP048240.1-83,9,1130
CP048240.1-84,35,595
CP048240.1-85,15,1008
CP048240.1-86,27,737
CP048240.1-87,37,550
CP048240.1-88,90,121
CP048240.1-89,38,537
CP048240.1-90,7,1159
CP048240.1-91,44,437
CP048240.1-92,14,1025
CP048240.1-93,53,347
CP048240.1-94,11,1091
CP048240.1-95,24,807
CP048240.1-96,10,1109
CP048240.1-97,23,828
CP048240.1-98,17,961
CP048240.1-99,25,788
CP048240.1-100,12,1064
CP048240.1-101,7,1160
CP048240.1-102,9,1131
CP048240.1-103,18,943
CP048240.1-104,43,456
CP048240.1-105,26,758
CP048240.1-106,60,281
CP048240.1-107,53,348
CP048240.1-108,2,1220
CP048240.1-109,19,914
CP048240.1-110,19,915
CP048240.1-111,59,294
CP048240.1-112,35,596
CP048240.1-113,17,962
CP048240.1-114,11,1092
CP048240.1-115,57,309
CP048240.1-116,15,1009
CP048240.1-117,58,303
CP048240.1-118,42,464
CP048240.1-119,22,846
CP048240.1-120,37,551
CP048240.1-121,17,963
CP048240.1-122,24,808
CP048240.1-123,20,893
CP048240.1-124,21,870
CP048240.1-125,19,916
CP048240.1-126,70,200
CP048240.1-127,46,421
CP048240.1-128,17,964
CP048240.1-129,51,372
CP048240.1-130,4,1201
CP048241.1-0,5,1189
CP048241.1-1,12,1065
CP048241.1-2,66,229
CP048241.1-3,30,671
CP048241.1-4,44,438
CP048241.1-5,53,349
CP048241.1-6,17,965
CP048241.1-7,64,250
CP048241.1-8,12,1066
CP048241.1-9,66,230
CP048241.1-10,19,917
CP048241.1-11,75,171
CP048241.1-12,13,1042
CP048241.1-13,11,1093
CP048241.1-14,20,894
CP048241.1-15,34,608
CP048241.1-16,20,895
CP048241.1-17,10,1110
CP048241.1-18,69,205
CP048241.1-19,6,1179
CP048241.1-20,3,1214
CP048241.1-21,10,1111
CP048241.1-22,87,130
CP048241.1-23,5,1190
CP048241.1-24,14,1026
CP048241.1-25,11,1094
CP048241.1-26,8,1147
CP048241.1-27,22,847
CP048241.1-28,15,1010
CP048241.1-29,30,672
CP048241.1-30,11,1095
CP048241.1-31,4,1202
CP048241.1-32,13,1043
CP048241.1-33,30,673
CP048241.1-34,12,1067
CP048241.1-35,64,251
CP048241.1-36,29,690
CP048241.1-37,45,430
CP048241.1-38,48,393
CP048241.1-39,30,674
CP048241.1-40,36,577
CP048241.1-41,5,1191
CP048241.1-42,26,759
CP048241.1-43,21,871
CP048241.1-44,35,597
CP048241.1-45,47,406
CP048241.1-46,54,333
CP048241.1-47,65,240
CP048241.1-48,37,552
CP048241.1-49,48,394
CP048241.1-50,49,386
CP048241.1-51,34,609
CP048241.1-52,11,1096
CP048241.1-53,4,1203
CP048241.1-54,41,483
CP048241.1-55,28,712
CP048241.1-56,25,789
CP048241.1-57,48,395
CP048241.1-58,39,514
CP048241.1-59,16,986
CP048241.1-60,19,918
CP048241.1-61,50,378
CP048241.1-62,26,760
CP048241.1-63,19,919
CP048241.1-64,32,640
CP048241.1-65,40,495
CP048241.1-66,56,319
CP048241.1-67,41,484
CP048241.1-68,56,320
CP048241.1-69,66,231
CP048241.1-70,19,920
CP048241.1-71,15,1011
CP048241.1-72,26,761
CP048241.1-73,25,790
CP048241.1-74,40,496
CP048241.1-75,42,465
CP048241.1-76,34,610
CP048241.1-77,20,896
CP048241.1-78,59,295
CP048241.1-79,75,172
CP048241.1-80,4,1204
CP048241.1-81,28,713
CP048241.1-82,18,944
CP048241.1-83,44,439
CP048241.1-84,36,578
CP048241.1-85,63,261
CP048241.1-86,29,691
CP048241.1-87,20,897
CP048241.1-88,34,611
CP048241.1-89,67,221
CP048241.1-90,27,738
CP048241.1-91,91,118
CP048241.1-92,88,125
CP048241.1-93,49,387
CP048241.1-94,57,310
CP048241.1-95,37,553
CP048241.1-96,4,1205
CP048241.1-97,11,1097
CP048241.1-98,88,126
CP048241.1-99,30,675
CP048241.1-100,32,641
CP048241.1-101,18,945
CP048241.1-102,37,554
CP048241.1-103,64,252
CP048241.1-104,14,1027
CP048241.1-105,17,966
CP048241.1-106,39,515
CP048241.1-107,17,967
CP048241.1-108,43,457
CP048241.1-109,17,968
CP048241.1-110,40,497
CP048241.1-111,26,762
CP048241.1-112,7,1161
CP048241.1-113,11,1098
CP048241.1-114,10,1112
CP048241.1-115,65,241
CP048241.1-116,69,206
